metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
per,refrigerator,as_drawn,kWh,534.36,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,as_drawn,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,as_drawn,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,as_drawn,kWh,783.670340807,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,as_drawn,kWh,82.4233221074,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,as_drawn,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,as_drawn,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,as_drawn,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,as_drawn,kWh,2253.70331978,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,as_drawn,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,as_drawn,tonsCO2e,5.87689535191,co2e.heating,Heating,502
co2e,cooling,as_drawn,tonsCO2e,0.599340018781,co2e.cooling,Cooling,503
co2e,dhw,as_drawn,tonsCO2e,0.923479691993,co2e.dhw,DHW,504
co2e,dishwashing,as_drawn,tonsCO2e,0.05849432012,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,as_drawn,tonsCO2e,0.0171611172681,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,as_drawn,tonsCO2e,0.0825084654033,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,as_drawn,tonsCO2e,0.1095438,co2e.refrigerator,Refrigerator,508
co2e,cooking,as_drawn,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,as_drawn,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,as_drawn,tonsCO2e,0.160652419865,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,as_drawn,tonsCO2e,0.016896781032,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,as_drawn,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,as_drawn,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,as_drawn,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,as_drawn,tonsCO2e,0.462009180554,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,as_drawn,tonsCO2e,3.51199518882,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,as_drawn,kWh,87797.3617156,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,as_drawn,kWh,12028.5835217,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,enerphit_by_component,kWh,15484.6281936,site_energy.heating,Heating,423
site_energy,cooling,enerphit_by_component,kWh,2154.1074682,site_energy.cooling,Cooling,424
site_energy,dhw,enerphit_by_component,kWh,3680.23951695,site_energy.dhw,DHW,425
site_energy,dishwashing,enerphit_by_component,kWh,237.781789106,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,enerphit_by_component,kWh,69.7606393014,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,enerphit_by_component,kWh,335.400265867,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,enerphit_by_component,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,enerphit_by_component,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,enerphit_by_component,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,enerphit_by_component,kWh,653.058617339,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,enerphit_by_component,kWh,68.6861017561,site_energy.phi_small_appliances,PHI Small Appliances,433
